,FINAL_ID,length,ridership,avg_speed,avg_speed_q10,avg_speed_q50,avg_speed_q90,trips,avg_load,avg_load_q10,avg_load_q50,avg_load_q90,service_hours,avg_speed_sd,riders_per_m,riders_per_km,avg_speed_cv,routes_str,stops_str,riders_per_service_hour,service_hour_km,low_inc_riders,rider_norm,equity_norm,reliability_norm,speed_norm,service_norm,final_score,rank,name,extents,comment,priority
11,104441,879.02493,5312.32884,6.881697401,4.206835931,6.736431855,9.647676066,326,14.38048515,6,13.26666667,24.18333333,13.6,2.260008857,6.043433649,6043.433649,0.328408636,"62, 48, 124, 31, 44, 125","SEPTA10279, SEPTA18447, SEPTA18448, NJT32537, NA, SEPTA21529, SEPTA30577, SEPTA21532, SEPTA31568",390.6124147,15.47168861,2009.595241,10,10,8.008871179,9.518413598,7.153609993,8.979313095,11,Market Street,20th to 30th St Station,NA,Hold
12,207111,2603.174429,18047.22286,10.64692707,8.33684935,10.41181045,13.64050063,507,18.63696483,7.099753788,16.65079365,32.20360983,79.58,2.596639655,6.932775101,6932.775101,0.2438863,"18, 26, 57","NA, SEPTA373, SEPTA382, SEPTA15910, SEPTA379, SEPTA15896, SEPTA30996, SEPTA16739, SEPTA15698, SEPTA16962, SEPTA15818, SEPTA15697, SEPTA15899, SEPTA15822, SEPTA15898, SEPTA16959, SEPTA15820, SEPTA16960, SEPTA15817, SEPTA15819, SEPTA16961, SEPTA32312, SEPTA381, SEPTA15795, SEPTA16964, SEPTA15814, SEPTA16965, SEPTA15815, SEPTA15800, SEPTA16966, SEPTA16963, SEPTA15799, SEPTA28699, SEPTA15907, SEPTA15798, SEPTA15796, SEPTA15908",226.7808855,30.5703679,2153.638992,10,10,5.94763276,4.815864023,10,8.845437098,12,Olney Avenue,Broad to Rising Sun,NA,1st Tier
13,203121,814.0385036,9546.199807,7.815660063,4.407954152,7.148248793,11.10264019,437,20.97129639,10.66957265,20.71428571,31.65691497,10.55,3.067857392,11.72696348,11726.96348,0.392526974,"22, 55, 710, 6","NA, SEPTA11217, SEPTA16595, SEPTA16926, SEPTA16597, SEPTA17201, SEPTA16599, SEPTA16925, SEPTA16598, SEPTA19064",904.8530623,12.96007493,3503.356043,10,10,9.572519181,8.866855524,5.992320801,8.803002038,13,Old York Road,Stenton to Broad & Olney,NA,2nd Tier
14,207211,830.140789,10972.34535,12.0323695,9.719229827,11.45739829,14.95976117,457,20.40102989,10.85333333,20.07272727,30.21258621,16.89,3.329270266,13.21745117,13217.45117,0.276692821,"18, 26","SEPTA15792, SEPTA15791, SEPTA15914, SEPTA15793, SEPTA15913, NA, SEPTA15789, SEPTA15915, SEPTA15912, SEPTA15794, SEPTA372, SEPTA15911",649.6356037,20.3459464,4093.547367,10,10,6.747682368,3.229461756,9.407309644,8.598970427,14,Olney Avenue,Broad to Chew,NA,1st Tier
15,108311,530.1663246,5121.643471,8.120731736,6.318861379,7.861364983,9.667051623,272,18.18711179,4.733477633,16.41666667,33.7773076,6.42,2.233070146,9.660446606,9660.446606,0.274983858,"33, 49, 38","NA, SEPTA14916, SEPTA22329, SEPTA2836, SEPTA2799, SEPTA22328, SEPTA20962",797.7637805,12.10940737,3582.119546,10,10,6.706006046,8.555240793,5.59899955,8.307405742,15,20th Street,JFK to Parkway,NA,1st Tier
16,258111,850.2023323,3330.647514,7.450558515,2.771160032,7.554776675,11.05013933,240,11.54130295,3.196666667,10.4,18.84,15.53,3.089306976,3.917476332,3917.476332,0.414640992,"49, LUCYGR, 30, 42","SEPTA21445, SEPTA20642, SEPTA30196, SEPTA32416, SEPTA21443, SEPTA21442, SEPTA21441, SEPTA21438",214.4653905,18.26624018,1330.700531,7.12902205,7.890552622,10,9.121813031,8.445720536,8.256550431,16,33rd Street,Civic Center to Market,NA,Hold
17,100112,1415.406815,5593.446114,5.587773702,4.033121953,5.092435475,8.039559711,289,12.10579376,5.725,12.975,17.15,35.07,1.683631445,3.951829294,3951.829294,0.301306305,"9, 21, 42","NA, SEPTA6066, SEPTA6065, SEPTA6060, SEPTA2666, SEPTA6062, SEPTA14906",159.4937586,24.77732877,1214.129221,7.191537557,7.199328688,7.347929117,9.886685552,10,8.252043395,17,Chestnut Street,Bridge to Broad,NA,1st Tier
18,164121,2576.055697,11681.58389,10.6399968,7.994374276,10.17711942,13.74548499,561,10.9556225,3.692307692,10.54545455,18.90909091,89.3,2.726980256,4.534678309,4534.678309,0.256295214,"26, 65, J, K","SEPTA5805, SEPTA15664, SEPTA15663, SEPTA15929, SEPTA21954, SEPTA497, SEPTA15920, SEPTA21228, SEPTA15665, SEPTA31000, SEPTA15668, SEPTA15924, SEPTA15669, SEPTA15923, SEPTA209, SEPTA213, SEPTA15666, SEPTA15925, SEPTA15670, SEPTA15922, SEPTA15671, SEPTA15921, SEPTA15926, NA, SEPTA496, SEPTA15660, SEPTA31669, SEPTA210, SEPTA15931, SEPTA21953, SEPTA15661, SEPTA15672",130.8128095,34.66539955,1481.700123,8.25220599,8.785923287,6.250247791,4.872521246,10,8.149878449,18,Chelten Avenue,Chew to Wissahickon,NA,2nd Tier
19,123112,2466.381037,10295,8.908046619,7.408342611,8.605319142,10.83946506,419,14.55005814,6.682417582,13.5,22.38181818,52.38,1.412224699,4.174131996,4174.131996,0.1585336,"40, 52","SEPTA769, SEPTA19028, SEPTA768, SEPTA21699, SEPTA557, SEPTA780, SEPTA767, SEPTA781, SEPTA21055, NA, SEPTA21749, SEPTA21695, SEPTA21694, SEPTA21748, SEPTA21722, SEPTA21757, SEPTA21692, SEPTA21751, SEPTA21693, SEPTA21752, SEPTA21721, SEPTA31270, SEPTA21700, SEPTA21744, SEPTA21745, SEPTA21698, SEPTA21746, SEPTA21747, SEPTA21696, SEPTA21697, SEPTA21750",196.5444826,21.23759436,1546.916077,7.596083936,9.17262932,3.866144311,7.932011331,9.819578912,8.121842497,19,52nd Street,Market to Parkside,NA,1st Tier
20,115111,2275.74762,7664.756644,5.930045025,2.617932326,6.020552463,8.512644419,445,9.623665684,1.987407407,8.208333333,19.46071429,64.88,2.291780726,3.368016988,3368.016988,0.386469363,"23, 61, 45","NA, SEPTA16839, SEPTA16840, SEPTA16838, SEPTA22248, SEPTA16841, SEPTA22044, SEPTA16851, SEPTA18437, SEPTA16850, SEPTA16849, SEPTA17855, SEPTA16846, SEPTA16847, SEPTA16845, SEPTA16842, SEPTA16843, SEPTA16844, SEPTA32173, SEPTA2456, SEPTA32331",118.1374329,28.50931247,1110.701603,6.12911613,6.586041894,9.424792797,9.773371105,10,8.078559994,20,11th Street,South to Spring Garden,NA,Hold
21,267111,920.12412,5654.276587,10.2983868,8.450706651,9.980768627,13.11336364,244,17.3416439,6.025,16.63888889,28.05833333,13.07,2.212312513,6.145123755,6145.123755,0.214821268,"WCS, 703","SEPTA24436, SEPTA24538, SEPTA24539, SEPTA24435, NA, SEPTA24540, SEPTA24434, SEPTA24542, SEPTA24541, SEPTA20908, SEPTA24432, SEPTA24431, SEPTA24543, SEPTA24937",432.6148881,14.20460535,2212.673763,10,10,5.238826494,5.580736544,6.567751545,7.994383266,21,63rd Street,Lindbergh to Woodland,NA,Hold
22,160121,907.1134633,7401.81746,9.610224843,7.425113874,9.291387627,12.33986264,244,19.99540114,8.225,19.75,31.925,9.6,2.405246759,8.159748212,8159.748212,0.250279967,"WPS, 703","NA, SEPTA24516, SEPTA24464, SEPTA21406, SEPTA24465, SEPTA24515, SEPTA24517, SEPTA24463, SEPTA32181, SEPTA182, SEPTA197, SEPTA1391, SEPTA2449",771.0226521,10.58302008,2922.822528,10,10,6.103554527,6.685552408,4.89324728,7.821950187,22,56th Street,Chestnut to Haverford,NA,2nd Tier
23,209111,1447.833107,12385.63901,15.39320329,11.39958685,15.53911735,18.91652513,702,16.89293731,7,16.83333333,26.49,25.05,3.1977331,8.554604086,8554.604086,0.20773669,"14, 20, 88, 88S, 58","SEPTA21968, SEPTA21969, SEPTA21970, SEPTA22469, SEPTA22335, SEPTA22336, SEPTA22470, SEPTA326, SEPTA338, SEPTA22337, SEPTA1129, SEPTA23039, SEPTA23297, SEPTA22468, SEPTA1107, SEPTA30554, NA",494.4366871,17.30171791,2244.4172,10,10,5.066055538,1.1898017,7.99975654,7.78192129,23,Bustleton Avenue,BLVD to FTC,NA,Direct Bus
24,101112,1719.44502,5693.489239,5.362562427,3.778044934,4.892274609,7.424268236,349,8.554986618,4.348571429,8.444444444,13.37777778,51.71,1.666214631,3.311236574,3311.236574,0.310712398,"9, 21, 42, 12","NA, SEPTA20972, SEPTA14880, SEPTA20973, SEPTA14881, SEPTA16132, SEPTA14886, SEPTA14885, SEPTA14887, SEPTA130, SEPTA14882, SEPTA14884, SEPTA14883",110.1042204,30.07365713,1015.027846,6.025787152,6.018732572,7.577314652,9.915014164,10,7.697671033,24,Walnut Street,Broad to 2nd,NA,2nd Tier
25,257111,1393.803614,5144.200777,7.421903284,2.088025764,7.721674835,13.04070991,260,14.47842267,3.833333333,12,32.03333333,19.3,3.80232356,3.690764412,3690.764412,0.512311117,"49, LUCYGO, 30, 42","NA, SEPTA21449, SEPTA21450, SEPTA21439, SEPTA30313, SEPTA31393, SEPTA30815",266.5389004,13.84700097,1235.894335,6.716451778,7.328387609,10,9.150141643,6.402406808,7.505579254,25,34th Street,University to Market,NA,Hold
26,235111,1204.98673,4434.191871,10.60717055,6.826441478,11.10051308,13.22962531,227,10.04558101,4.530952381,9.5,15.85714286,27.14,2.399598962,3.679867802,3679.867802,0.226224227,"75, 89, J, K","SEPTA17621, SEPTA17616, SEPTA17622, NA, SEPTA17623, SEPTA24574, SEPTA17615, SEPTA220, SEPTA32159",163.3821618,22.5230696,1356.197819,6.696622131,8.041741928,5.516909413,4.985835694,10,7.497434153,26,Arrott Street,Arrott TC to Castor Ave.,NA,2nd Tier
27,136115,1127.282705,3782,8.636164518,6.542665467,8.569282891,10.71658363,305,8.514535519,4.48,8.4,12.33333333,22.33,1.623168122,3.354970305,3354.970305,0.187950116,"3, 5","SEPTA23967, SEPTA24090, SEPTA24091, SEPTA23968, SEPTA24088, SEPTA23969, SEPTA23966, SEPTA25421, NA, SEPTA19011, SEPTA217, SEPTA23965, SEPTA24089",169.3685625,19.80869564,1373.429658,6.105373779,8.14392024,4.583522176,8.21529745,9.158902211,7.451901511,27,Frankford Avenue,Orthodox to FTC,NA,2nd Tier
28,159112,1720.76505,7160.714165,9.964632627,7.755139022,9.644601551,12.8090966,256,22.83534602,12.23989899,22.79343434,32.95707071,27.53,2.079537488,4.161354955,4161.354955,0.208691837,23,"SEPTA16886, SEPTA15720, SEPTA1176, NA, SEPTA16887, SEPTA15717, SEPTA16889, SEPTA15718, SEPTA15716, SEPTA16890, SEPTA15719, SEPTA16888, SEPTA15711, SEPTA31460, SEPTA16892, SEPTA15713, SEPTA15715, SEPTA16891, SEPTA15712, SEPTA16893, SEPTA16894, SEPTA1189, SEPTA18168, SEPTA21224",260.1058542,15.99869779,1508.860211,7.572832281,8.946972373,5.089348621,6.260623229,7.397282046,7.398018156,28,Germantown Avenue,BGE to Wayne Jct.,NA,2nd Tier
29,294111,1680.588509,7677,9.478730613,7.238811238,9.489234133,11.59612763,418,15.61408066,8.5,15.53571429,23.04285714,21.85,1.804980932,4.568042658,4568.042658,0.190424331,"24, 8, R","SEPTA20844, SEPTA21971, SEPTA21972, SEPTA23596, SEPTA23773, NA, SEPTA23595, SEPTA23774, SEPTA23775, SEPTA23594, SEPTA23597, SEPTA23598, SEPTA23772, SEPTA23592, SEPTA23771, SEPTA23599, SEPTA23769, SEPTA23770, SEPTA23600, SEPTA23768, SEPTA23601, SEPTA23602, SEPTA23766, SEPTA23767",351.3501144,13.00139795,1524.007284,8.31292242,9.036788812,4.643860624,6.883852691,6.011427235,7.281248781,29,Pratt Street,FTC to BLVD,NA,Direct Bus
30,136212,1800.258039,7784.650499,10.68560827,8.25741871,10.8556455,13.32833074,349,15.3503078,4.912521886,15.65555556,24.742,33.3,2.918859856,4.324185939,4324.185939,0.273158044,66,"NA, SEPTA958, SEPTA21830, SEPTA21937, SEPTA992, SEPTA961, SEPTA26163, SEPTA21828, SEPTA957, SEPTA21932, SEPTA21833, SEPTA21934, SEPTA21835, SEPTA21831, SEPTA21936, SEPTA1006, SEPTA21827, SEPTA21826, SEPTA21933, SEPTA21834",233.7732883,18.49734831,1142.567324,7.86915205,6.77499361,6.661480084,4.759206799,8.552577488,7.226766647,30,Frankford Avenue,Tyson to Rhawn,NA,2nd Tier
31,109321,613.6769244,2824.481441,8.07911846,6.130387275,7.608057065,11.30312453,151,17.59974487,6.875,16.25,29.49569892,5.29,2.004172003,4.60255442,4602.55442,0.248068154,"48, 7","SEPTA2854, NA, SEPTA14927, SEPTA2863, SEPTA748, SEPTA22055",533.9284388,8.620170956,1518.97764,8.375726914,9.006964916,6.049615241,8.611898017,3.985689127,7.174784396,31,23rd Street,Spring Garden to Brown,NA,3rd Tier
32,169211,2083.918957,7572.445967,10.04205289,6.752639784,10.28364003,13.78787243,385,14.37158683,5.311111111,14.69444444,23.42764706,30.65,3.146604956,3.633752619,3633.752619,0.313342799,"53, 56, 4","NA, SEPTA21261, SEPTA17419, SEPTA16401, SEPTA16489, SEPTA18154, SEPTA17421, SEPTA16399, SEPTA21964, SEPTA18188, SEPTA18153, SEPTA829, SEPTA18193, SEPTA18152, SEPTA17425, SEPTA18151, SEPTA18194, SEPTA18150, SEPTA18149, SEPTA18148, SEPTA18196, SEPTA26228, SEPTA17441, SEPTA18055, SEPTA837, SEPTA26259, SEPTA32152",247.0618586,14.70786563,1409.944295,6.612701737,8.360438276,7.641461989,6.090651558,6.800442872,7.159909915,32,Erie Avenue,BGE to Front Street,NA,1st Tier
33,236121,1268.794364,5749.46106,12.26374019,9.614401298,12.34827615,14.53159279,363,13.72146949,5.888888889,13.1,22.77777778,22.36,2.109320206,4.531436475,4531.436475,0.171996485,"26, 25, 73, 84","SEPTA15806, NA, SEPTA15783, SEPTA15781, SEPTA15807, SEPTA15780, SEPTA15808, SEPTA15777, SEPTA15776, SEPTA15809, SEPTA487, SEPTA15774, SEPTA32063, SEPTA15810, SEPTA15785, SEPTA15805, SEPTA15787, SEPTA15804, SEPTA15788, SEPTA15803",257.1315322,17.6230291,1416.198061,8.246306501,8.397520748,4.194462449,3.087818697,8.148320473,7.108322074,33,Bridge Street,Torresdale to Frankford,NA,3rd Tier
34,151221,601.4487834,7207.54138,13.32204885,9.481766513,13.0763492,17.20361624,444,15.65997633,7,15,25.975,4.95,3.726097058,11.98363282,11983.63282,0.279693995,"9, 27, 65","SEPTA12304, NA, SEPTA12261, SEPTA12319, SEPTA17345, SEPTA14995",1456.068966,8.230127214,2879.438186,10,10,6.820871703,2.322946176,3.805345477,7.094313604,34,Ridge Avenue,Main Street to Manayunk,NA,3rd Tier
35,118211,1101.185271,4278.170229,6.90001482,4.688525115,6.784199463,9.598659846,185,15.11514319,3,14.71428571,27.3352381,12.56,1.908004005,3.885059438,3885.059438,0.276521726,"47, 12","NA, SEPTA18511, SEPTA18512, SEPTA18513, SEPTA18515, SEPTA735, SEPTA18514, SEPTA18516, SEPTA25098",340.6186488,11.40589175,1322.509552,7.070029797,7.841983202,6.743509873,9.461756374,5.27371661,7.072090683,35,7th Street,Market to South,NA,2nd Tier
36,151231,902.900617,5132.303188,13.60117307,10.91571873,13.3699813,16.54022165,310,14.22215037,7,14,21.73186813,12.44,2.377843039,5.684239318,5684.239318,0.17482632,"9, 65","SEPTA12336, SEPTA16182, SEPTA12278, SEPTA12335, SEPTA14891, SEPTA12305, SEPTA12345, SEPTA14892, SEPTA17343, SEPTA12296, SEPTA12323, SEPTA12324, SEPTA17331",412.5645649,13.77781759,1443.306052,10,8.558260919,4.263473379,2.067988669,6.370418642,7.023602646,36,Ridge Avenue,Shurs Ln. to Manayunk,NA,3rd Tier
37,217111,1415.95779,6719,10.55178079,7.73723055,10.52320169,13.33403191,406,14.1668426,6,13,23.625,15.29,2.265277069,4.745197948,4745.197948,0.214681968,"30, 31, 65, 105, 106","SEPTA560, SEPTA9268, SEPTA9292, SEPTA551, SEPTA19536, SEPTA9267, SEPTA9269, SEPTA20584, SEPTA20583, SEPTA21490, SEPTA21665, NA, SEPTA21491, SEPTA21493, SEPTA30831, SEPTA21492, SEPTA21662, SEPTA21664, SEPTA21392, SEPTA21484",439.4375409,10.79834449,1518.396046,8.635309555,9.003516282,5.235429403,5.07082153,4.992806343,6.946189411,37,Landsdowne,63rd Street to Haverford,NA,3rd Tier
38,150112,1858.628477,6121.459419,10.09101372,8.154000486,9.755859328,12.26552379,422,9.847031315,3.580188697,8.768248663,17.85256069,45.28,1.744917994,3.293535795,3293.535795,0.172918008,"48, 49, 7","SEPTA2908, SEPTA14943, SEPTA2895, SEPTA3201, SEPTA14942, NA, SEPTA1313, SEPTA32505, SEPTA2899, SEPTA751, SEPTA21068, SEPTA2903, SEPTA2902, SEPTA2887, SEPTA2896, SEPTA20430, SEPTA25184, SEPTA2886, SEPTA25372, SEPTA2901, SEPTA2891, SEPTA2900, SEPTA747, SEPTA3195, SEPTA30103, SEPTA25202",135.1912416,24.36205006,1098.188817,5.99357528,6.511845785,4.216935552,5.949008499,10,6.897098273,38,29th Street,Diamond to Pennsylvania,NA,2nd Tier
39,261111,979.4309863,3731.267198,7.855957608,5.85955369,7.548302756,10.44852783,211,16.00725938,5.436805556,13.83333333,27.57777778,11.66,1.966391764,3.809627478,3809.627478,0.250305801,"48, 49, 7","NA, SEPTA3092, SEPTA25204, SEPTA3098, SEPTA3103, SEPTA30106, SEPTA16569",320.0057631,11.90487146,1265.357044,6.932758743,7.503090366,6.104184538,8.838526912,5.504428741,6.852908394,39,21st Street,Market to Pennsylvania,NA,3rd Tier
40,159111,2203.813525,7376.607583,9.172637421,7.148851238,8.594729433,11.73373336,256,18.03342685,8.995833333,17.87121212,26.02777778,35.03,1.996645908,3.34720134,3347.20134,0.217674134,23,"NA, SEPTA16876, SEPTA16100, SEPTA16877, SEPTA1179, SEPTA20519, SEPTA16101, SEPTA1186, SEPTA16099, SEPTA16098, SEPTA16879, SEPTA16878, SEPTA16097, SEPTA16880, SEPTA16087, SEPTA16881, SEPTA16884, SEPTA16076, SEPTA1188, SEPTA16885, SEPTA16080, SEPTA16085, SEPTA16883, SEPTA16882, SEPTA31613",210.5797198,15.89517425,1213.657324,6.09123582,7.196530515,5.308399073,7.620396601,7.3494161,6.775395068,40,Germantown Avenue,BGE to Lehigh,NA,3rd Tier
41,221111,1661.452473,4988,10.19085974,8.074622566,9.327616436,13.21101287,333,9.131995632,4,8.75,14.27272727,29.78,3.095743472,3.002192408,3002.192408,0.303776477,"WCS, WPA, 52","SEPTA25520, SEPTA21709, SEPTA21736, SEPTA21710, SEPTA21735, NA, SEPTA21733, SEPTA21712, SEPTA21732, SEPTA21713, SEPTA21714, SEPTA21731, SEPTA21728, SEPTA21727, SEPTA21257, SEPTA776, SEPTA21715, SEPTA21730, SEPTA21734, SEPTA21711",167.4949631,17.92407576,1121.988223,5.463388686,6.652967293,7.408168989,5.835694051,8.287514743,6.756450561,41,54th Street,Baltimore to Woodland,NA,3rd Tier
42,113123,628.9080916,2348.263617,5.697711596,3.800278123,5.132850093,7.909632705,115,15.99845706,9.178571429,16.07142857,22.43846154,2.94,2.382527186,3.733874072,3733.874072,0.418155104,"16, 4","SEPTA1280, SEPTA17170, SEPTA32142, SEPTA17262, NJT27947, NA, SEPTA17261",798.7291214,4.67476892,1367.444166,6.794902722,8.108428529,10,9.858356941,2.161462429,6.748493038,42,Broad Street,City Hall to Vine,NA,3rd Tier
43,159113,1912.307365,7335.752169,10.51145701,8.577877027,9.857917864,13.36323345,254,21.10275832,11.46181818,21.14529221,30.80727273,25.97,2.042288033,3.836073793,3836.073793,0.194291622,23,"SEPTA949, SEPTA15655, SEPTA15700, SEPTA17055, SEPTA17054, SEPTA15701, SEPTA15702, SEPTA17053, SEPTA15704, SEPTA17051, SEPTA15703, SEPTA17044, SEPTA15708, NA, SEPTA15710, SEPTA17047, SEPTA15706, SEPTA17049, SEPTA17048, SEPTA15705, SEPTA17050, SEPTA15707, SEPTA17052",282.4702414,13.58045285,1390.916943,6.980885739,8.247613247,4.738171906,5.127478754,6.279163549,6.610121966,43,Germantown Avenue,Chelten to Wayne Jct.,NA,3rd Tier
44,226111,3358.016114,10653.61262,12.43731137,8.302150368,12.79399424,15.87968228,625,10.7780895,6,10.46666667,15.81428571,75.06,3.131111038,3.172591273,3172.591273,0.251751439,"47, K, WR6, 70","SEPTA16248, SEPTA18564, SEPTA18563, SEPTA26043, SEPTA16249, SEPTA18562, NA, SEPTA16244, SEPTA18569, SEPTA16243, SEPTA18570, SEPTA18568, SEPTA16242, SEPTA18571, SEPTA18565, SEPTA18566, SEPTA16246, SEPTA16241, SEPTA16240, SEPTA18572, SEPTA26064, SEPTA16239, SEPTA18573, SEPTA16238, SEPTA18574, SEPTA744, SEPTA16237, SEPTA22723, SEPTA22724, SEPTA22836, SEPTA722, SEPTA16236, SEPTA31433, SEPTA22725, SEPTA22835, SEPTA22726, SEPTA24813, SEPTA32102, SEPTA22834, SEPTA22727, SEPTA22832, SEPTA16245, SEPTA18567",141.9346205,22.35248357,1011.538997,5.773480482,5.998045014,6.139439177,2.974504249,10,6.582124302,44,5th Street,BLVD to 66th Avenue,NA,3rd Tier
